,datetime,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_inflow_total,btc_outflow_total,btc_netflow_total,btc_coinbase_premium_index,btc_coinbase_premium_gap
78,2022-01-03 22:00:00,45981.63098386,46448.27965459,45965.25424683,46224.49007172,2573.2116118327526,770.72728873,2431.97998024,-1661.2526915099995,0.01605439,7.42
79,2022-01-03 23:00:00,46221.72637868,46575.75739262,46174.65465437,46452.01632792,3106.627364065764,1289.62171345,1312.41831369,-22.79660024000009,0.02897983,13.46
80,2022-01-04 00:00:00,46449.65114693,46543.94721224,46170.3233932,46246.30339544,2981.4289971564635,1843.10793435,1054.90233453,788.2055998200001,0.0030274,1.4
81,2022-01-04 01:00:00,46244.91622013,46404.47056608,46045.55254275,46062.36953635,2363.816447691246,1664.09905608,1056.66402079,607.4350352900001,0.0117034,5.39
82,2022-01-04 02:00:00,46063.59131181,46271.63853439,45947.08877363,46108.99929153,2945.82092590999,3005.68581501,4469.73656022,-1464.0507452099996,0.00288482,1.33
83,2022-01-04 03:00:00,46109.25218593,46383.21231245,46012.69522635,46324.31034985,2420.316591796281,1210.25789741,1149.03317118,61.22472622999999,0.01267436,5.87
84,2022-01-04 04:00:00,46320.51450452,46414.64002339,46006.06537431,46102.02730608,3920.295384587963,3925.59083132,2624.55242565,1301.03840567,-0.00635573,-2.93
85,2022-01-04 05:00:00,46103.84684856,46298.20495989,46024.38085593,46158.23370517,2186.9678010990715,578.84184621,821.37848778,-242.53664157000003,0.01189556,5.49
86,2022-01-04 06:00:00,46154.99057011,46397.01045875,46069.91212562,46373.56003798,3044.8411704447667,2180.8383365,2315.23886679,-134.40053029,0.03265216,15.14
87,2022-01-04 07:00:00,46374.17407543,46594.06396841,46323.84384318,46552.3382727,3533.356906795111,1137.63957368,44809.35456097,-43671.714987290005,0.01772288,8.25
88,2022-01-04 08:00:00,46553.93278617,46682.31245665,46396.96818863,46494.00859617,3223.6334684922463,1398.28398078,1089.08244081,309.2015399700001,0.03557775,16.54
89,2022-01-04 09:00:00,46495.06835825,46603.67204022,46301.13849327,46358.51015265,3114.771821844699,1548.65948659,1683.85348874,-135.1940021500002,-0.00045301,-0.21
90,2022-01-04 10:00:00,46359.53003101,46761.44806353,46297.92640598,46632.34121898,3050.1576223162674,984.20687538,814.23973746,169.96713792000003,0.02043952,9.53
